ID,Estado,Codigo,EAN,Nombre,Unidad,Categoria,Precio Base,Sucursal Dueña,Sucursal (Stock/Precio),Stock Actual,Stock Minimo,Precio Venta,Diferencia Precio (Base vs Venta)
cmlfpyevm0000jr049brgg7xd,Activo,"INT1770674627793","7792798002726","andes origen x473cm3",Un,"bebidas",4000,"Global","Suc. Cepernic",0,6,4000,0
cmlfpyevm0000jr049brgg7xd,Activo,"INT1770674627793","7792798002726","andes origen x473cm3",Un,"bebidas",4000,"Global","Suc. Rivadavia",4,6,4000,0
cmlfpyevm0000jr049brgg7xd,Activo,"INT1770674627793","7792798002726","andes origen x473cm3",Un,"bebidas",4000,"Global","Suc. Perito Moreno",0,6,4000,0
cmlvgh3ou000kjo040c2chby5,Activo,"INT1771626162414",""," agua orizon 500",Un,"bebidas",1500,"Global","Suc. Cepernic",0,0,1500,0
cmlvgh3ou000kjo040c2chby5,Activo,"INT1771626162414",""," agua orizon 500",Un,"bebidas",1500,"Global","Suc. Rivadavia",0,0,1500,0
cmlvgh3ou000kjo040c2chby5,Activo,"INT1771626162414",""," agua orizon 500",Un,"bebidas",1500,"Global","Suc. Perito Moreno",12,0,1500,0
cmlslvkwx0000jm04r8ptz7em,Activo,"INT1771453837472","7791813444411","7up 1,5L",Un,"kiosco",6000,"Global","Suc. Cepernic",12,2,6000,0
cmlslvkwx0000jm04r8ptz7em,Activo,"INT1771453837472","7791813444411","7up 1,5L",Un,"kiosco",6000,"Global","Suc. Rivadavia",12,4,6000,0
cmlslvkwx0000jm04r8ptz7em,Activo,"INT1771453837472","7791813444411","7up 1,5L",Un,"kiosco",6000,"Global","Suc. Perito Moreno",0,0,6000,0
cmlfnc4530000l40408dsof2t,Activo,"INT1770670228215","7798113301611","AGUA VILLAMANAOS 2L",Un,"bebidas",2500,"Global","Suc. Cepernic",10,6,2500,0
cmlfnc4530000l40408dsof2t,Activo,"INT1770670228215","7798113301611","AGUA VILLAMANAOS 2L",Un,"bebidas",2500,"Global","Suc. Rivadavia",21,6,2500,0
cmlfnc4530000l40408dsof2t,Activo,"INT1770670228215","7798113301611","AGUA VILLAMANAOS 2L",Un,"bebidas",2500,"Global","Suc. Perito Moreno",0,6,2500,0
cmlfnobke0000l504fl9rkzj8,Activo,"INT1770670797710","7798113300270","AGUA VILLAMANAOS 600CM3",Un,"bebidas",1500,"Global","Suc. Cepernic",17,6,1500,0
cmlfnobke0000l504fl9rkzj8,Activo,"INT1770670797710","7798113300270","AGUA VILLAMANAOS 600CM3",Un,"bebidas",1500,"Global","Suc. Rivadavia",33,6,1500,0
cmlfnobke0000l504fl9rkzj8,Activo,"INT1770670797710","7798113300270","AGUA VILLAMANAOS 600CM3",Un,"bebidas",1500,"Global","Suc. Perito Moreno",0,6,1500,0
cmlfqfnzt0000jp04c992cgec,Activo,"INT1770675432760","7792798007493","brahma x1l",Un,"bebidas",5000,"Global","Suc. Cepernic",0,0,5000,0
cmlfqfnzt0000jp04c992cgec,Activo,"INT1770675432760","7792798007493","brahma x1l",Un,"bebidas",5000,"Global","Suc. Rivadavia",0,0,5000,0
cmlfqfnzt0000jp04c992cgec,Activo,"INT1770675432760","7792798007493","brahma x1l",Un,"bebidas",5000,"Global","Suc. Perito Moreno",8,6,6000,1000
cmlfnficb0003l4041rxm1bvp,Activo,"INT1770670386586","7798113300027","MANAOS LIMA LIMON 2,25L",Un,"bebidas",3000,"Global","Suc. Cepernic",2,6,3000,0
cmlfnficb0003l4041rxm1bvp,Activo,"INT1770670386586","7798113300027","MANAOS LIMA LIMON 2,25L",Un,"bebidas",3000,"Global","Suc. Rivadavia",3,6,3000,0
cmlfnficb0003l4041rxm1bvp,Activo,"INT1770670386586","7798113300027","MANAOS LIMA LIMON 2,25L",Un,"bebidas",3000,"Global","Suc. Perito Moreno",0,6,3000,0
cmlfna1ga0003l104i3uj2s97,Activo,"INT1770670131418","7798113300041","MANAOS NARANJA 2,25L",Un,"bebidas",3000,"Global","Suc. Cepernic",13,6,3000,0
cmlfna1ga0003l104i3uj2s97,Activo,"INT1770670131418","7798113300041","MANAOS NARANJA 2,25L",Un,"bebidas",3000,"Global","Suc. Rivadavia",12,6,3000,0
cmlfna1ga0003l104i3uj2s97,Activo,"INT1770670131418","7798113300041","MANAOS NARANJA 2,25L",Un,"bebidas",3000,"Global","Suc. Perito Moreno",0,6,3000,0
cmlfndfof0000l704ddlev1i3,Activo,"INT1770670289814","7798113301529","SODA MANAOS 2L",Un,"bebidas",3000,"Global","Suc. Cepernic",15,6,3000,0
cmlfndfof0000l704ddlev1i3,Activo,"INT1770670289814","7798113301529","SODA MANAOS 2L",Un,"bebidas",3000,"Global","Suc. Rivadavia",2,6,3000,0
cmlfndfof0000l704ddlev1i3,Activo,"INT1770670289814","7798113301529","SODA MANAOS 2L",Un,"bebidas",3000,"Global","Suc. Perito Moreno",0,6,3000,0
cmlh0fsqd000al704gljjuxay,Activo,"INT1770752701236","7791560074077","mumm cuvee reserve x750ml",Un,"bebidas",30000,"Global","Suc. Cepernic",3,6,30000,0
cmlh0fsqd000al704gljjuxay,Activo,"INT1770752701236","7791560074077","mumm cuvee reserve x750ml",Un,"bebidas",30000,"Global","Suc. Rivadavia",2,6,30000,0
cmlh0fsqd000al704gljjuxay,Activo,"INT1770752701236","7791560074077","mumm cuvee reserve x750ml",Un,"bebidas",30000,"Global","Suc. Perito Moreno",0,6,30000,0
cmlh08eh50005l204lf79mfa0,Activo,"INT1770752356169","7791560512593","mumm leger x750ml",Un,"bebidas",30000,"Global","Suc. Cepernic",0,6,30000,0
cmlh08eh50005l204lf79mfa0,Activo,"INT1770752356169","7791560512593","mumm leger x750ml",Un,"bebidas",30000,"Global","Suc. Rivadavia",2,6,30000,0
cmlh08eh50005l204lf79mfa0,Activo,"INT1770752356169","7791560512593","mumm leger x750ml",Un,"bebidas",30000,"Global","Suc. Perito Moreno",0,6,30000,0
cmlfp3g92000fl104k4uq889t,Activo,"INT1770673183238","7798113302496","MANAOS POMELO BLANCO X354CM3",Un,"bebidas",1500,"Global","Suc. Cepernic",-2,6,1500,0
cmlfp3g92000fl104k4uq889t,Activo,"INT1770673183238","7798113302496","MANAOS POMELO BLANCO X354CM3",Un,"bebidas",1500,"Global","Suc. Rivadavia",7,6,2000,500
cmlfp3g92000fl104k4uq889t,Activo,"INT1770673183238","7798113302496","MANAOS POMELO BLANCO X354CM3",Un,"bebidas",1500,"Global","Suc. Perito Moreno",0,6,1500,0
cmlfowkv30003l704npx2xseh,Activo,"INT1770672862622","7790895643767","ADES MULTIFRUTAX200ML",Un,"bebidas",1500,"Global","Suc. Cepernic",0,6,1500,0
cmlfowkv30003l704npx2xseh,Activo,"INT1770672862622","7790895643767","ADES MULTIFRUTAX200ML",Un,"bebidas",1500,"Global","Suc. Rivadavia",17,6,1500,0
cmlfowkv30003l704npx2xseh,Activo,"INT1770672862622","7790895643767","ADES MULTIFRUTAX200ML",Un,"bebidas",1500,"Global","Suc. Perito Moreno",0,6,1500,0
cmlibba2a0000ky04p5r7ndpq,Activo,"INT1770831432369","INT3134278394","pote de x150g",Un,"Heladeria",5000,"Global","Suc. Cepernic",0,20,5000,0
cmlibba2a0000ky04p5r7ndpq,Activo,"INT1770831432369","INT3134278394","pote de x150g",Un,"Heladeria",5000,"Global","Suc. Rivadavia",50,20,5000,0
cmlibba2a0000ky04p5r7ndpq,Activo,"INT1770831432369","INT3134278394","pote de x150g",Un,"Heladeria",5000,"Global","Suc. Perito Moreno",0,20,5000,0
cmlfo6r840009l104ss6iuhiu,Activo,"INT1770671657811","7790895005794","COCA COLA X2,5L",Un,"bebidas",7000,"Global","Suc. Cepernic",0,6,7000,0
cmlfo6r840009l104ss6iuhiu,Activo,"INT1770671657811","7790895005794","COCA COLA X2,5L",Un,"bebidas",7000,"Global","Suc. Rivadavia",0,6,7000,0
cmlfo6r840009l104ss6iuhiu,Activo,"INT1770671657811","7790895005794","COCA COLA X2,5L",Un,"bebidas",7000,"Global","Suc. Perito Moreno",0,6,7000,0
cmlfpzy5y000ol704ev97yme6,Activo,"INT1770674699446","7790950134100","dr.lemon limon x1l",Un,"bebidas",6000,"Global","Suc. Cepernic",0,6,6000,0
cmlfpzy5y000ol704ev97yme6,Activo,"INT1770674699446","7790950134100","dr.lemon limon x1l",Un,"bebidas",6000,"Global","Suc. Rivadavia",2,6,6000,0
cmlfpzy5y000ol704ev97yme6,Activo,"INT1770674699446","7790950134100","dr.lemon limon x1l",Un,"bebidas",6000,"Global","Suc. Perito Moreno",0,6,6000,0
cmlfq13u0000ll104co4wa8r9,Activo,"INT1770674753447","7790950131918","dr.lemon vodka x1l",Un,"bebidas",6000,"Global","Suc. Cepernic",0,6,6000,0
cmlfq13u0000ll104co4wa8r9,Activo,"INT1770674753447","7790950131918","dr.lemon vodka x1l",Un,"bebidas",6000,"Global","Suc. Rivadavia",4,6,6000,0
